customerID,ActualChurn,PredictedChurn,ChurnProbability,RiskSegment
4376-KFVRS,0,0,0.0030749151,Low Risk
2754-SDJRD,0,1,0.9789918,High Risk
9917-KWRBE,0,0,0.14163303,Low Risk
0365-GXEZS,0,0,0.3845084,Low Risk
9385-NXKDA,0,0,0.000207281,Low Risk
4686-UXDML,0,1,0.7155796,Medium Risk
2227-JRSJX,0,1,0.5933657,Medium Risk
4830-FAXFM,0,0,0.13445254,Low Risk
1830-IPXVJ,0,0,0.0010788646,Low Risk
4690-LLKUA,1,0,0.40284237,Low Risk
5804-HYIEZ,0,0,0.14738612,Low Risk
2388-LAESQ,0,0,0.0019054626,Low Risk
5533-RJFTJ,0,0,0.1699739,Low Risk
4706-AXVKM,1,1,0.81423664,High Risk
0997-YTLNY,0,0,0.09652523,Low Risk
7971-HLVXI,0,0,0.0027360155,Low Risk
7337-CINUD,0,0,0.0008317591,Low Risk
1379-FRVEB,0,1,0.6740702,Medium Risk
4753-PADAS,0,0,0.21491729,Low Risk
5701-GUXDC,0,0,0.08089339,Low Risk
7235-NXZCP,1,1,0.59610665,Medium Risk
0668-OGMHD,0,0,0.3890697,Low Risk
2812-REYAT,0,0,0.001822601,Low Risk
8779-YIQQA,0,0,0.014611462,Low Risk
9701-CDXHR,0,0,0.06756453,Low Risk
7130-CTCUS,0,0,0.15843688,Low Risk
1894-IGFSG,1,0,0.40223762,Low Risk
0871-URUWO,1,1,0.62477726,Medium Risk
0057-QBUQH,0,0,0.0147138825,Low Risk
9611-CTWIH,1,1,0.65664774,Medium Risk
8058-DMYRU,0,0,0.46328136,Low Risk
5351-QESIO,0,0,0.37436658,Low Risk
4302-ZYFEL,0,0,0.0004899255,Low Risk
6134-KWTBV,0,0,0.0063429745,Low Risk
2034-GDRCN,1,1,0.77509284,High Risk
9544-PYPSJ,0,0,0.029176718,Low Risk
4208-UFFGW,1,1,0.530607,Medium Risk
9537-JALFH,0,0,0.00034757584,Low Risk
4415-IJZTP,1,1,0.9329873,High Risk
4701-MLJPN,1,0,0.07355504,Low Risk
7515-LODFU,0,0,0.00020891934,Low Risk
4927-WWOOZ,0,1,0.85524017,High Risk
4067-HLYQI,0,1,0.7039728,Medium Risk
6184-DYUOB,0,0,0.12281819,Low Risk
9209-NWPGU,0,0,0.015718235,Low Risk
9851-KIELU,1,1,0.6890008,Medium Risk
3199-XGZCY,0,1,0.5749949,Medium Risk
4226-KKDON,0,0,0.052443672,Low Risk
1085-LDWAM,0,0,0.00023230864,Low Risk
6825-UYPFK,1,0,0.18604027,Low Risk
1767-CJKBA,0,0,0.0003635495,Low Risk
7181-BQYBV,1,1,0.90290165,High Risk
0178-CIIKR,0,0,0.11160542,Low Risk
4256-ZWTZI,0,0,0.28653878,Low Risk
